trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.5, 'e': -0.39998531498835127}",20,16,6.128887327603456,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.08838369930580554}",25,0,-80.45703114781381,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.5551133015206257}",30,2,-212.94023766967112,"{0: 14, 1: 2, 2: 6, 3: 4, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.8859318072699817}",30,0,-142.45225158909884,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.9998433086476912}",25,0,-192.76077730588497,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.8689582973139933}",20,0,-110.16221686561865,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.5253219888177297}",20,0,-57.495803448098584,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.05306853621402457}",30,0,-181.73609039290602,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
92,False,"{'a': 0.5, 'e': -0.4321779448847783}",20,10,18.172077791991477,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': -0.8116121923430246}",30,20,19.269082773079514,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': -0.9923354691509287}",30,13,28.5660842864897,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': -0.9301004142012893}",20,8,21.55444854164047,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': -0.6401443394691997}",25,18,13.790968961756587,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': -0.1934586046207122}",20,5,19.193759117788886,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.3005925437436371}",30,20,18.087412793501297,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.7210481538680822}",25,0,-212.60237013902966,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 4}",0
100,False,"{'a': 0.5, 'e': 0.9649660284921133}",25,0,-77.99391306443275,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.9726265649744922}",25,0,-106.87769207304218,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.7421541968137826}",20,0,-118.94096685090743,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.32997659774057014}",20,0,-101.27842325105885,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
104,False,"{'a': 0.5, 'e': -0.16299078079570548}",20,6,23.991692886046696,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,21,15.245666910844452,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,15,9.436142192416202,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,22,16.609617464648217,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,18.480014468029925,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,13,14.58160470250787,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,22.355456514876543,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,17,16.272824178952824,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,7,30.957943849776356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,17,13.427558547077748,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,6,32.96645234283524,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
